"","nsource","saddr","domain","daddr","description","file"
"1","aakamen.com","78.24.9.52","ns2.vshosting.cz|poski.vshosting.cz","78.24.9.52|89.235.0.2","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"2","aaskmen.com","204.11.56.48","ns1626.ztomy.com|ns2626.ztomy.com","204.11.56.26|204.11.57.26","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"3","aifamen.com","","juming.dnsdun.com|juming.dnsdun.net|v1.dnsdun.com|v1.dnsdun.net","37.221.175.74|47.96.179.127|116.1.237.119|122.228.80.247|172.247.255.190","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"4","aiwomen.com","154.219.152.60","ns3.eachnic.com|ns4.eachnic.com","47.75.86.42|154.219.152.60","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"5","amlumen.com","208.91.197.91","dns1.bluehost.com|dns2.bluehost.com|dns3.bluehost.com|dns4.bluehost.com","162.251.82.118|162.251.82.119|162.251.82.121|162.251.82.122|162.251.82.123|162.251.82.125|162.251.82.246|162.251.82.248|162.251.82.249|162.251.82.250|162.251.82.252|162.251.82.253","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"6","aoaimen.com","103.70.226.182","f1g1ns1.dnspod.net|f1g1ns2.dnspod.net","14.215.150.17|14.215.155.156|14.215.155.170|14.215.155.203|58.247.212.119|58.247.212.36|58.247.212.48|61.129.8.159|61.151.180.44|101.226.220.16|111.161.57.77|111.161.57.81|180.163.19.15|182.140.167.166|182.140.167.188|183.192.201.90","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"7","aswomen.com","104.171.24.25|104.171.24.26","ns1.fabulous.com|ns2.fabulous.com","104.171.20.72|104.171.24.71","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"8","ayromen.com","198.38.82.115","ns3000.mochahost.com|ns4000.mochahost.com","50.31.134.141|198.38.82.115","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"9","bjadmen.com","134.73.61.187","ns1.dnsowl.com|ns2.dnsowl.com|ns3.dnsowl.com","45.32.237.128|45.63.106.63|45.63.5.234|64.32.22.100|104.207.141.138|168.235.75.52|185.34.216.159|198.251.84.16|209.141.39.150","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"10","bjyemen.com","193.222.100.37","ns1.0088dns.com|ns2.0088dns.com","60.12.122.226|113.113.120.63","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"11","brehmen.com","81.169.145.159","docks11.rzone.de|shades10.rzone.de","81.169.146.21|85.214.0.240","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"12","breymen.com","23.236.62.147","ns14.wixdns.net|ns15.wixdns.net","216.239.32.100|216.239.34.100","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"13","bzfamen.com","27.124.28.149","jm1.dns.com|jm2.dns.com","121.14.154.246|121.14.154.247|121.14.154.248|121.14.154.249|218.98.111.214|218.98.111.215|218.98.111.216|218.98.111.217","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"14","caddmen.com","154.221.200.119","ns2.dnsdun.com|ns2.dnsdun.net|ns5.dnsdun.com|ns5.dnsdun.net","37.221.175.74|59.52.16.250|115.29.220.216|116.1.237.119|118.190.22.55|118.190.22.58|118.190.24.151|122.228.80.247|172.247.254.218|172.247.255.182|172.247.255.187","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"15","cenkmen.com","217.26.53.16","ns2.hostpoint.ch|ns3.hostpoint.ch|ns.hostpoint.ch","217.26.48.126|217.26.51.254|217.26.53.254","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"16","ceramen.com","43.230.142.125","a.ezdnscenter.com|b.ezdnscenter.com","121.12.104.76|121.12.104.77|183.2.194.140|183.2.194.141|218.98.111.140|218.98.111.141|218.98.111.76|218.98.111.77","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"17","cewomen.com","160.153.89.67","ns07.domaincontrol.com|ns08.domaincontrol.com","97.74.103.4|173.201.71.4","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"18","cglumen.com","92.53.96.22","ns1.timeweb.ru|ns2.timeweb.ru|ns3.timeweb.org|ns4.timeweb.org","92.53.116.200|92.53.116.26|92.53.98.100|92.53.98.42","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"19","citumen.com","178.22.59.66","ns0.transip.net|ns1.transip.nl|ns2.transip.eu","37.97.199.195|195.135.195.195|195.8.195.195","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"20","codamen.com","162.210.102.66","dns1.ntchosting.com|dns2.ntchosting.com|dns3.ntchosting.com|dns4.ntchosting.com","46.249.199.214|95.175.98.136|198.23.54.4|198.23.56.4","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
"21","curlmen.com","81.169.145.161","docks18.rzone.de|shades20.rzone.de","81.169.146.28|85.214.0.250","Master Indicator Feed for banjori non-sinkholed domains","http://osint.bambenekconsulting.com/manual/banjori.txt"
